,Reads used in Clonotypes,Unsuccessful Reads,Not used for Clonotypes
012-915-8-rep1,0.772143599,0.153575355,0.074281045
012-915-8-rep2,0.888258155,0.043600206,0.068141639
012-915-8-rep3,0.856428962,0.046993738,0.0965773
012-915-8-rep4,0.873364731,0.05249563,0.074139639
012-915-8-rep5,0.859805576,0.043957599,0.096236825
012-915-8-rep6,0.904701761,0.028613529,0.06668471
013-204-6-rep1,0.868229862,0.009292461,0.122477677
013-204-6-rep2,0.885062155,0.01194316,0.102994686
013-204-6-rep3,0.900389283,0.018303946,0.08130677
013-204-6-rep4,0.918813265,0.016508315,0.06467842
013-204-6-rep5,0.897133883,0.023949745,0.078916372
013-204-6-rep6,0.89923259,0.022006264,0.078761147
013-517-1-rep1,0.781553081,0.006526648,0.21192027
013-517-1-rep2,0.88593467,0.009850338,0.104214992
013-517-1-rep3,0.923631796,0.006861243,0.069506961
013-517-1-rep4,0.924775149,0.008949509,0.066275342
013-517-1-rep5,0.918787061,0.008750774,0.072462165
013-517-1-rep6,0.935866265,0.007982803,0.056150932
014-747-3-rep1,0.85629692,0.01032765,0.13337543
014-747-3-rep2,0.872316629,0.010799891,0.11688348
014-747-3-rep3,0.9305239,0.011567642,0.057908458
014-747-3-rep4,0.805075242,0.042402431,0.152522328
014-747-3-rep5,0.911875769,0.012373395,0.075750835
014-747-3-rep6,0.93758361,0.008410122,0.054006268
014-784-6-rep1,0.5388309,0.177812516,0.283356584
014-784-6-rep2,0.545270376,0.142258844,0.312470781
014-784-6-rep3,0.402466527,0.192222516,0.405310957
014-784-6-rep4,0.478874585,0.212754571,0.308370844
014-784-6-rep5,0.453106581,0.293479198,0.25341422
014-784-6-rep6,0.423646724,0.210172616,0.36618066
015-249-9-rep1,0.901485113,0.01411541,0.084399477
015-249-9-rep2,0.874856322,0.028627874,0.096515805
015-249-9-rep3,0.877787856,0.022858085,0.099354058
015-249-9-rep4,0.890397969,0.021749105,0.087852926
015-249-9-rep5,0.880037945,0.023348617,0.096613439
015-249-9-rep6,0.891174266,0.042597792,0.066227942
015-772-0-rep1,0.842931492,0.027244842,0.129823666
015-772-0-rep2,0.880644425,0.029944885,0.08941069
015-772-0-rep3,0.814722774,0.044683289,0.140593936
015-772-0-rep4,0.852105931,0.027306947,0.120587122
015-772-0-rep5,0.837384239,0.032286326,0.130329434
015-772-0-rep6,0.840440524,0.048428067,0.111131409
015-780-3-rep1,0.865992537,0.012486472,0.121520991
015-780-3-rep2,0.895084866,0.009246383,0.095668751
015-780-3-rep3,0.894497065,0.015790372,0.089712563
015-780-3-rep4,0.891167226,0.014689217,0.094143557
015-780-3-rep5,0.897484529,0.017804524,0.084710947
015-780-3-rep6,0.903986188,0.014946398,0.081067414
016-080-7-rep1,0.896099997,0.013978626,0.089921377
016-080-7-rep2,0.887597644,0.019763998,0.092638358
016-080-7-rep3,0.885837309,0.021201189,0.092961501
016-080-7-rep4,0.931150456,0.013452915,0.055396629
016-080-7-rep5,0.877560209,0.029419654,0.093020137
016-080-7-rep6,0.892509966,0.016099028,0.091391006
016-192-0-rep1,0.876403134,0.012457631,0.111139235
016-192-0-rep2,0.881989783,0.021353692,0.096656525
016-192-0-rep3,0.824915919,0.016507848,0.158576233
016-192-0-rep4,0.871758309,0.03692296,0.091318731
016-192-0-rep5,0.872471314,0.018007561,0.109521125
016-192-0-rep6,0.882480829,0.017522716,0.099996455
016-200-1-rep1,0.781303085,0.067017371,0.151679544
016-200-1-rep2,0.761601901,0.060665362,0.177732737
016-200-1-rep3,0.72081139,0.079194288,0.199994322
016-200-1-rep4,0.783291085,0.122647106,0.094061809
016-200-1-rep5,0.806034022,0.064833636,0.129132342
016-200-1-rep6,0.429954728,0.15165996,0.418385312
016-328-0-rep1,0.892029957,0.018364372,0.089605672
016-328-0-rep2,0.888289265,0.012299819,0.099410916
016-328-0-rep3,0.875926512,0.023961692,0.100111795
016-328-0-rep4,0.882095648,0.019501704,0.098402649
016-328-0-rep5,0.888058706,0.015493662,0.096447632
016-328-0-rep6,0.843289992,0.035699404,0.121010604
016-895-8-rep1,0,0,1
016-895-8-rep2,0,0,1
016-895-8-rep3,0,0,1
016-895-8-rep4,0,0,1
016-895-8-rep5,0,0,1
016-895-8-rep6,0,0,1
F-20181011,0.4,0.2,0.4
R140813000457-rep1,0.880733871,0.017017299,0.10224883
R140813000457-rep2,0.901670454,0.014009488,0.084320057
R140813000457-rep3,0.872007011,0.017690571,0.110302418
R140813000457-rep4,0.879807558,0.015552013,0.10464043
R140813000457-rep5,0.90222998,0.02051931,0.077250709
R140813000457-rep6,0.881127737,0.021699689,0.097172574
R140813000708-rep1,0.740935234,0.036226162,0.222838604
R140813000708-rep2,0.787618982,0.016708895,0.195672122
R140813000708-rep3,0.781983407,0.060631357,0.157385236
R140813000708-rep4,0.764573397,0.048025967,0.187400636
R140813000708-rep5,0.750974264,0.036907864,0.212117872
R140813000708-rep6,0.849118968,0.022849246,0.128031786
W-20181011,0,0,1
